[DEBUG] 2021-03-02 21:49:16.875 [main] SimpleValueBinder - Starting fillSimpleValue for id
[DEBUG] 2021-03-02 21:49:16.875 [main] SimpleValueBinder - Starting fillSimpleValue for dateOfBirth
[DEBUG] 2021-03-02 21:49:16.875 [main] SimpleValueBinder - Starting fillSimpleValue for firstName
[DEBUG] 2021-03-02 21:49:16.875 [main] SimpleValueBinder - Starting fillSimpleValue for lastName
[DEBUG] 2021-03-02 21:49:16.875 [main] SimpleValueBinder - Starting fillSimpleValue for userName
[DEBUG] 2021-03-02 21:49:16.876 [main] PrimaryKey - Forcing column [id] to be non-null as it is part of the primary key for table [user]
[DEBUG] 2021-03-02 21:49:16.921 [main] SessionFactoryImpl - Building session factory
[DEBUG] 2021-03-02 21:49:16.922 [main] Settings - SessionFactory name : null
[DEBUG] 2021-03-02 21:49:16.922 [main] Settings - Automatic flush during beforeCompletion(): enabled
[DEBUG] 2021-03-02 21:49:16.922 [main] Settings - Automatic session close at end of transaction: disabled
[DEBUG] 2021-03-02 21:49:16.923 [main] Settings - Statistics: disabled
[DEBUG] 2021-03-02 21:49:16.923 [main] Settings - Deleted entity synthetic identifier rollback: disabled
[DEBUG] 2021-03-02 21:49:16.923 [main] Settings - Default entity-mode: pojo
[DEBUG] 2021-03-02 21:49:16.923 [main] Settings - Check Nullability in Core (should be disabled when Bean Validation is on): enabled
[DEBUG] 2021-03-02 21:49:16.923 [main] Settings - Allow initialization of lazy state outside session : disabled
[DEBUG] 2021-03-02 21:49:16.923 [main] Settings - Using BatchFetchStyle : LEGACY
[DEBUG] 2021-03-02 21:49:16.923 [main] Settings - Default batch fetch size: -1
[DEBUG] 2021-03-02 21:49:16.923 [main] Settings - Maximum outer join fetch depth: 2
[DEBUG] 2021-03-02 21:49:16.924 [main] Settings - Default null ordering: NONE
